,Date,Subscribers
0,01/06/2021,134304
1,02/06/2021,134468
2,03/06/2021,134431
3,04/06/2021,134597
4,05/06/2021,134745
5,06/06/2021,133783
6,07/06/2021,133935
7,08/06/2021,134105
8,09/06/2021,134268
9,10/06/2021,134171
10,11/06/2021,134356
11,12/06/2021,134341
12,13/06/2021,133779
13,14/06/2021,133876
14,15/06/2021,134019
15,16/06/2021,134136
16,17/06/2021,133965
17,18/06/2021,134159
18,19/06/2021,134328
19,20/06/2021,133622
20,21/06/2021,133788
21,22/06/2021,133921
22,23/06/2021,134060
23,24/06/2021,133917
24,25/06/2021,134107
25,26/06/2021,134286
26,27/06/2021,134289
27,28/06/2021,134444
28,29/06/2021,134581
29,30/06/2021,134720
30,01/07/2021,134557
31,02/07/2021,134660
32,04/07/2021,134660
33,05/07/2021,134660
34,06/07/2021,134891
35,07/07/2021,135025
36,08/07/2021,134822
37,09/07/2021,134957
38,10/07/2021,135149
39,11/07/2021,134553
40,12/07/2021,134662
41,13/07/2021,134808
42,14/07/2021,134956
43,15/07/2021,134790
44,16/07/2021,134944
45,17/07/2021,135074
46,18/07/2021,134407
47,19/07/2021,134538
48,20/07/2021,134715
49,21/07/2021,134831
50,22/07/2021,134604
51,23/07/2021,134579
52,24/07/2021,134888
53,25/07/2021,134093
54,26/07/2021,134381
55,27/07/2021,134567
56,28/07/2021,134726
57,29/07/2021,134517
58,30/07/2021,134652
59,31/07/2021,134803
60,01/08/2021,134038
61,02/08/2021,134143
62,03/08/2021,134230
63,04/08/2021,134316
64,05/08/2021,134092
65,06/08/2021,134230
66,07/08/2021,134355
67,08/08/2021,134464
68,09/08/2021,134558
69,10/08/2021,134671
70,11/08/2021,134754
71,12/08/2021,134560
72,13/08/2021,134671
73,14/08/2021,134796
74,15/08/2021,133109
75,16/08/2021,133254
76,17/08/2021,133420
77,18/08/2021,133587
78,19/08/2021,133529
79,20/08/2021,133661
80,21/08/2021,133777
81,22/08/2021,132938
82,23/08/2021,133190
83,24/08/2021,133282
84,25/08/2021,133367
85,26/08/2021,133165
86,27/08/2021,133267
87,28/08/2021,133383
88,29/08/2021,132710
89,30/08/2021,132870
90,31/08/2021,132859
91,01/09/2021,132849
92,02/09/2021,132916
93,03/09/2021,132899
94,04/09/2021,133164
95,05/09/2021,132586
96,06/09/2021,132579
97,07/09/2021,132781
