,Time,Value
0,02/12/2025 08:03,4.214
1,02/12/2025 08:13,4.217
2,02/12/2025 08:23,4.211
3,02/12/2025 08:43,4.206
4,02/12/2025 08:53,4.206
5,02/12/2025 09:03,4.21
6,02/12/2025 09:13,4.204
7,02/12/2025 09:23,4.203
8,02/12/2025 09:33,4.211
9,02/12/2025 09:43,4.212
10,02/12/2025 09:54,4.21
11,02/12/2025 10:04,4.215
12,02/12/2025 10:29,4.225
13,02/12/2025 10:43,4.222
14,02/12/2025 10:53,4.223
15,02/12/2025 11:03,4.215
16,02/12/2025 11:13,4.221
17,02/12/2025 11:24,4.219
18,02/12/2025 11:33,4.218
19,02/12/2025 11:43,4.215
20,02/12/2025 11:53,4.218
21,02/12/2025 12:03,4.217
22,02/12/2025 12:13,4.218
23,02/12/2025 12:23,4.224
24,02/12/2025 12:33,4.218
25,02/12/2025 12:43,4.213
26,02/12/2025 12:54,4.211
27,02/12/2025 13:04,4.209
28,02/12/2025 13:13,4.208
29,02/12/2025 13:24,4.2
30,02/12/2025 13:33,4.235
31,02/12/2025 13:43,4.25
32,02/12/2025 13:53,4.248
33,02/12/2025 14:04,4.252
34,02/12/2025 14:24,4.256
35,02/12/2025 14:43,4.253
36,02/12/2025 14:54,4.246
37,02/12/2025 15:03,4.248
38,02/12/2025 15:13,4.259
39,02/12/2025 15:23,4.26
40,02/12/2025 15:33,4.252
41,02/12/2025 15:43,4.25
42,02/12/2025 15:53,4.254
43,02/12/2025 16:03,4.256
44,02/12/2025 16:14,4.25
45,02/12/2025 16:23,4.239
46,02/12/2025 16:33,4.237
47,02/12/2025 16:43,4.236
48,02/12/2025 17:04,4.221
0,02/12/2025 17:13,4.219
